datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-27 22:44:59,8.15818,8.24520236473334,14.1778,59.3426
2016-09-27 23:00:00,6.22033,6.71743130826667,13.9458,60.0898
2016-09-27 23:15:00,7.08896,6.91511006933334,13.7509,60.9912
2016-09-27 23:29:59,4.60877,5.4948291344,13.5018,62.26
2016-09-27 23:45:00,4.10629,4.85119844486,13.24,63.6436
2016-09-28 00:00:00,3.50709,4.03880356556,13.0927,64.7509
2016-09-28 00:14:59,0.791022,2.42815567456,12.919,65.6965
2016-09-28 02:00:00,1.40594,2.28876011432,11.5382,71.08
2016-09-28 02:15:00,5.79578,5.67745744176666,11.4,71.2055
2016-09-28 02:29:59,7.85277,6.91587308549999,11.3093,71.2037
2016-09-28 02:45:00,6.31949,5.77194737366666,11.2169,71.4864
2016-09-28 03:00:00,6.05195,5.91714805633333,11.1526,71.9561
2016-09-28 03:14:59,5.5632,4.90878618276667,11.0309,72.3418
2016-09-28 03:30:00,5.11931,4.68081664211334,10.88,72.5509
2016-09-28 03:45:00,4.33259,3.59525843757,10.7685,72.9037
2016-09-28 03:59:59,2.40641,2.80669704241334,10.6271,73.2949
2016-09-28 04:15:00,0.4443,1.58058740722333,10.5474,73.8298
2016-09-28 07:30:00,0.817359,1.38669745994334,10.7145,77.72
2016-09-28 07:44:59,1.1476,1.61068647313667,11.7467,76.5967
2016-09-28 08:00:00,0.46923,1.57742177209667,12.6286,74.7607
2016-09-28 08:15:00,3.13851,3.59626612934,13.1945,73.0236
2016-09-28 08:29:59,11.2509,12.1765362923333,14.1907,69.1167
2016-09-28 08:45:00,15.1375,15.8318699717333,15.2891,65.5945
2016-09-28 09:00:00,17.6948,17.7557101813333,16.3067,62.1317
2016-09-28 09:14:59,18.4572,17.9415887942,17.0946,60.0393
2016-09-28 09:30:00,20.1375,19.9038067775333,17.7611,58.4241
2016-09-28 09:45:00,20.1032,20.0369582106667,18.5364,57.3545
2016-09-28 09:59:59,22.2206,23.0184257593333,19.0927,56.6091
2016-09-28 10:15:00,25.5735,28.5069498933334,19.4533,56.5033
2016-09-28 10:30:00,27.443,30.1729602933333,19.8786,56.9357
2016-09-28 10:44:59,31.5694,33.95021457,20.3907,57.5815
2016-09-28 11:00:00,33.5914,34.4735362833333,18.8909,58.6
2016-09-28 11:15:00,34.7333,35.8654367966667,21.2018,59.0491
2016-09-28 11:29:59,34.3738,35.0473442899999,21.4283,58.9717
2016-09-28 11:45:00,35.6023,35.70419553,21.7196,58.8304
2016-09-28 12:00:00,36.7691,36.8991018766666,21.9945,57.96
2016-09-28 12:14:59,38.5193,37.6460760466666,22.3727,56.7709
2016-09-28 12:30:00,39.1635,39.1098595366667,22.7891,55.4564
2016-09-28 12:45:00,39.7889,40.2828700633333,23.2033,54.1483
2016-09-28 12:59:59,40.8501,40.3512666566666,23.3179,53.0321
2016-09-28 13:15:00,41.7977,41.2046904333333,23.5273,51.7782
2016-09-28 13:30:00,41.8074,42.3476422133333,23.5455,50.9655
2016-09-28 13:44:59,42.8807,41.9307399566667,23.6455,50.1618
2016-09-30 10:30:00,16.2099,16.3005534766667,18.04,74.9073
2016-09-30 10:44:59,18.1698,18.6792443266666,18.0655,74.4836
2016-09-30 11:00:00,19.2968,18.249946258,18.62,73.3667
2016-09-30 11:15:00,19.5864,19.6805297733334,19.0911,71.8804
2016-09-30 11:29:59,19.6005,19.67673999,19.1574,71.3741
2016-09-30 11:45:00,19.8274,19.3685954486667,17.4436,70.6673
